,Batch size,Train loss,Test losses,Train Acc,Test Acc,Best Test Acc
0,50,0.0001160503746872564,0.0012361076660454273,99.9,98.2,98.2
1,75,0.00020364556055671226,0.0008585520554333925,99.66333333333334,97.98,98.13
2,100,0.00022539239642210306,0.0006384895532391965,99.41499999999999,97.98,98.02
3,125,0.00024276851028359183,0.000505579577293247,99.18833333333333,97.95,97.95
4,150,0.00028774870578199627,0.0004670032358262688,98.83999999999999,97.82,97.82
5,200,0.0003186642116401345,0.000416640134062618,98.165,97.46000000000001,97.46000000000001
