,Momentum,Train loss,Test losses,Train Acc,Test Acc
0,0.85,0.00032241980651548754,0.0006947050569579005,99.175,97.8
1,0.9,0.00022234553141364208,0.0005961433053016663,99.45166666666667,98.09
2,0.925,0.0001526531356716684,0.0006296308129094541,99.69,98.14
3,0.95,0.00014731376828761616,0.0006726768333464861,99.63833333333334,97.94
4,0.975,7.178629009334448e-05,0.0006182314245961607,99.82,98.33
5,0.99,0.0002233688307387638,0.0008678499725647271,99.24833333333333,97.86
