,Learn rate,Train loss,Test losses,Train Acc,Test Acc
0,0.001,0.0008088368139850596,0.0009404760203324258,97.72,97.34
1,0.0025,0.0004010497073332469,0.0007120532100088894,98.92833333333333,97.86
2,0.005,0.00023829685570090077,0.0006693691830150783,99.35833333333333,97.89
3,0.0075,0.00016120207016550315,0.0005864696577191353,99.61,98.2
4,0.01,0.00014197698113954782,0.0006581358029507101,99.63833333333334,98.07000000000001
5,0.015,0.00011450015474886944,0.0006095641292631626,99.69833333333334,98.22999999999999
6,0.02,0.0001751003394878353,0.0006135894800536335,99.44833333333334,98.36
7,0.025,9.933750959650448e-05,0.0007792128017172217,99.68833333333333,97.87
8,0.05,0.00016130712092951094,0.0006774681969545782,99.47,98.13
